text,translation,num_words,author,source,page,line
"Dépi véranda-a, tann mizik-la.","Depuis la véranda, écoute la musique.",7,G. Gratiant,F.K.Z,1,12
Ou ja touvé kay-la ou té ka chaché a ?,As-tu déjà trouvé la maison que tu cherchais ?,14,J. Florentiny,Dod.,1,23
Ou a viré rann li dan lizin-la.,Tu le lui rendras dans l'usine.,10,G. Gratiant,F.K.Z.,1,29
A pié nou bay désann.,Nous descendîmes à pied.,9,T. Léotin,A.T.Z.,1,34
. Kon sé kanmarad-li a té ka fè a.,Comme faisaient ses camarades.,11,R.Confiant,K.Y.,1,39
Ni dot ki ka kriyé : aba si ! aba sa !,Il y en a d'autres qui crient : à bas ceci ! à bas cela !,16,G. Gratiant,F.K.Z.,1,43
"Ou pa lé di mwen ababa, an ?","Je suis idiot peut-être, hein ?",12,G. Mauvois,M.M.,1,49
Man ababa di pasians-ou.,Je suis stupéfait de ta patience.,10,G. Mauvois,D. J.,1,57
Papa’y pa té sav i té ababa douvan fanm-tala.,Son père ignorait qu’il était en admiration devant cette femme,9,,,1,63
Fok genyen an bel ti abajou pou mété an salon-an.,Il faut acheter un beau petit abat-jour pour mettre dans le salon.,10,,,1,69
"Bondié wè fon tjè-mwen, i pa kay abandonnen mwen.","Dieu a lu au fond de mon cœur, il ne m'abandonnera pas.",15,M-Th. Lung-fou,3. B. F.,1,73
"Lè i tann nouvel-la, i rété abazoudi .","Quand il entendit la nouvelle, il demeura abasourdi.",8,,,2,4
"Lè ou ka abésé moun kon sa, fok ou pwan pokosion.","Quand on abaisse les gens comme vous le faites, il faut prendre des précautions.",11,,,2,8
Abi ! Abi ! Mi djab-la déwò.,Abi ! Abi ! Le diable est de sortie.,7,,,2,14
I ka abité tou pré a.,Il habite tout près.,12,R. Confiant,M.F.,2,30
Sé bef-la isia pa abitié épi mouton.,Les bœufs d'ici ne sont pas habitués aux moutons.,15,J. Laurent et I. Césaire,C.M.A.,2,39
"Epi, misié-a ni an jan abiyé, ou tann !","Et puis il a une de ces façons de s'habiller, tu m'entends !",14,G. Mauvois,M.M.,2,44
"Man pa enmen manniè Jéra, i two abizan.","Je n’aime pas les manières de Gérard, il est trop sans gêne.",8,,,2,50
Pa montré’w abizan. Ou pé key janmen fò pasé wonm.,Ne fais pas d’abus. Tu ne sera jamais plus fort que le rhum.,14,G. Mauvois,Ov.,2,56
"Abizé, manti épi vakabonnajé.","Abuser, mentir et faire le voyou.",7,V. Placoly,D.J.,2,62
Kwè mwen ou pa ka sanm on moun yo sé pé abizé.,"Crois-moi, tu n’as pas l’air de quelqu’un que l’on pourrait tromper.",17,G. Mauvois,D.J.,2,68
Ek nou té abo mandé doubout pi djok.,Et nous avions beau demander avec une exigence plus forte.,12,Monchoachi,Nst.,2,74
I té ni métod-li pou abòdé sé fanm-lan.,Il avait sa méthode pour aborder les femmes..,14,H. Bartéléry,T. A.,3,7
"Isia sé pa l’Afrik di Sid, ou abodi.","Tu as beau dire, ici ce n’est pas l’Afrique du Sud.",13,J. Florentiny,Dod.,3,13
Mé ou abodi kanmenm.,Mais tu exagères quand même.,8,G. Mauvois,M.M.,3,19
"Men, abodi-abofè, man sav an jou i key viré.","Mais quoi qu'il en soit, je sais qu'un jour, elle reviendra.",14,J-M. Rosier,Lk.,3,23
"An tout manniè, toujou té ni yonn-dé abòfiò pou té plimen.","De toutes façons, il y avait toujours quelques idiots prêts à se faire détrousser.",13,R.Confiant,K.Y.,3,31
Makoumè’y Jéraniz pati kay Abolay.,Son amie Géranise est partie dans l’au-delà.,10,T. Léotin,O.L.,3,36
Tala abominab pasé tout lèrestan.,Celui-ci est plus abominable que tous les autres.,11,G. Mauvois,D. J.,3,45
Nou pòkò péyé abònman téléfòn-la mwa-tala.,Nous n’avons pas encore payé notre abonnement au téléphone ce mois-ci.,6,,,3,49
Man té ké lé abonné a jounal-tala.,J’aimerais m’abonner à ce journal.,7,,,3,53
"Nou abonnè, makoumè, ébé !","On est matinal, l’amie, dites donc !",8,R. Confiant,Maris.,3,57
"Dé laké-pré-tet, dé abouflet.","Des prétentieux, des vantards.",10,M-TH. Lung-Fou,P. D.,3,63
"Lè nou rivé anlè mòn-la, nou tout la té about.","Quand nous sommes arrivés en haut de la colline, nous étions tous à bout.",10,,,4,4
I fè anlo démach men yo pies pa abouti.,Il a fait beaucoup de démarches mais aucune n’a abouti.,9,,,4,8
Man pa kwè kay-tala abowdab épi ti lajan-an nou ni a.,Je ne crois pas que cette maison soit abordable vu le peu d’argent dont nous,11,,,4,12
An lanmen té ka anni ralé’w dèyè abri-bis la.,Une main vous tirait derrière l’abribus.,14,J-M. Rosier,A. L.,4,23
Yo ka abriti moun épi anlo flim méritjen.,On abrutit les gens avec des tas de films américains.,8,,,4,29
Fok pa rété abriti douvan pies kri malfini.,Il ne faut pas rester abruti devant le moindre cri de mensfenil.,13,M. Lebielle,F.N.,4,35
Fok nou ké absoliman ritouvé yich-tala.,Il faudra que nous retrouvions absolument cet enfant.,12,H. Bartéléry,T. A.,4,41
Mwen ka aché chimen limiè-ya.,Je cherche le chemin de la lumière.,12,Joby Bernabé,Konm.,4,49
"personnages, Achikaman et Soupanaye.","« Il s’agissait de deux pauvres hères, ouvriers agricoles, qui, trop misérables pour avoir une",4,,,4,54
Adan achouvalman sé flech sann lan.,Dans le chevauchement des flèches cendrées,8,Monchoachi,Nst.,5,15
Ou sonjé achté wiski ?,Tu as pensé à acheter du whisky ?,9,G. Mauvois,M.M.,5,19
Yo tout la débantjé twop pou achté goumen-taa.,Ils sont tous trop à court d’argent pour pouvoir relever ce défi.,13,R. Confiant,Bitak.,5,23
Adan'y té ni an ti pwason.,"A l'intérieur, il y avait un petit poisson.",12,T. Léotin,L.L.,5,30
Yonn adan sé dé gran frè’y-la té avoka.,L’un de ses deux frères était avocat.,13,I. et H. Cadoré,Vnl.,5,37
"Pannan  tout mwa septanm-lan, lariviè-tala té adébodman.","Pendant tout le mois de septembre, cette rivière était en crue.",8,,,5,41
"Moun ki ka renmen ni rad toujou bien blan, adéfo di lapo-yo.","Les gens qui aiment avoir leurs vêtements toujours bien blancs, à défaut de leur peau.",12,G-H. Léotin,M.L,5,45
"Lè i rivé, i di : ""Adié"", Tijan !","A son arrivée, il dit ""Adieu, Ti Jean !",19,J. Laurent et I. Césaire,C.M.A.,5,50
Fok ou palé ba Albè konsidiré i sé an adilt.,Il faut parler à Albert comme s’il est un adulte.,10,,,5,54
Bondié pa ka padonnen fanm ki adiltè.,Dieu ne pardonne pas aux femmes adultères.,7,,,5,59
"Lè nou ka adisionnen sé chif-la, nou ka wè i manti.","Quand nous additionnons les chiffres, nous nous apercevons qu’il a menti.",11,,,6,5
"Lè i sòti larmé, i té rivé adjidan.","Quand il a quitté l’armée, il a atteint le grade d’adjudant.",8,,,6,9
I konpwann yo té kay adjijé’y téren-tala.,Il croyait qu’on allait lui adjuger ce terrain.,7,,,6,13
"Lè adjidikatè-a rivé, tout moun sispann palé.","Quand l’adjudicateur est arrivé, tout le monde a cessé de parler.",7,,,6,17
"Jou-a yo fè adjidikasion-an, man té lakay notè-mwen.","Le jour où s’est déroulée l’adjudication, je me trouvais chez mon notaire.",8,,,6,21
Fiyel prèmié adjwen mè-a.,Le filleul du premier adjoint au maire.,8,J.M. Rosier,A. L.,6,25
Man ka admet pasé menm koté i pasé a.,J'exige de passer au même endroit que lui.,17,C. Colombo,T. J. M. L.,6,31
Fi-a pé pa admet i ka mayé.,La fille ne peux pas admettre qu'il se marie.,11,G. Mauvois,M.M.,6,37
