sentence,sentence_fra
404 ni baladè o volan.,La 404 a le levier de vitesse au volant.
A dèmen !,À demain !
A dèmen.,À demain.
A kilè nou ka vwè ?,On se voit à quelle heure ?
A pa Kwisyann ?,Ce n'est pas Christiane ?
A pa Kévin ?,C'est pas Kévin ?
A pa Mawi ?,Ce n'est pas Marie ?
A pa Tòm ?,Ce n'est pas Tom ?
A pa fwè an mwen.,Ce n'est pas mon frère.
A pa jé !,Ce n'est pas une blague !
A pa lapenn.,Ce n'est pas la peine.
A pa manman an mwen.,Ce n'est pas ma mère.
A pa papa an mwen.,Ce n'est pas mon père.
A pa souvaman yo ka jwenn vou.,On ne te rencontre pas souvent.
A pa sè an mwen.,Ce n'est pas ma sœur.
A pa ti las nou té las yè !,Qu'est-ce qu'on était fatigués hier !
A pa Èstéfann ?,Ce n'est pas Stéphane ?
A sa ou di.,C'est ce que tu dis.
A talè !,À tout à l'heure !
Adiyé !,Adieu !
Ahak.,Rien.
Aki yo ?,Qui sont-ils ?
Alimaj a loto an mwen pa ka maché.,Ma voiture a une panne d'allumage.
Alimaj a loto an mwen pa'a maché.,Ma voiture a une panne d'allumage.
"Alto-la ka kriyé twòp, yo ja tann anki i.","Le saxophone alto joue trop fort, on n'entend que toi."
Alé bèsé ti frè a'w !,Va bercer ton petit frère !
Alé bèsé ti sè a'w !,Va bercer ta petite sœur !
"Alò, ka ou fè ?","Alors, comment ça va ?"
An achté on téléfòn nèf.,J'ai acheté un nouveau téléphone.
An adan ladoutans.,J'hésite.
An ay vwè'y sanmdi anho-anho.,Je suis allé le voir le samedi précédent samedi.
An ay vwè'y sanmdi anho.,Je suis allé le voir samedi dernier.
An baké Fòdfwans é misyé lasa.,J'ai embarqué à Fort-de-France avec ce monsieur.
An baké Lapwent é madanm lasa.,J'ai embarqué à Pointe-à-Pitre avec cette dame.
"An bizwen ay an vil, an pa ni lajan.","Il faut que j'aille en ville, mais je n'ai pas d'argent."
An bizwen ay an vil.,Il faut que j'aille en ville.
An bizwen vou.,J'ai besoin de toi.
An bizwen vwè'w.,J'ai besoin de te voir.
An blésé mwen.,Je me suis blessé.
An enmé Hitomi.,J'aime Hitomi.
An enmé Kati.,J'aime Cathy.
An enmé Mawi.,J'aime Mary.
An enmé Tatoeba.,J'aime Tatoeba.
An enmé Tòm.,J'aime Tom.
An enmé aprann.,J'aime apprendre.
An enmé apwann.,J'aime apprendre.
An enmé bayé.,J'aime bâiller.
An enmé bwè.,J'aime boire.
An enmé chanson-lasa.,J'aime cette chanson.
An enmé chanté-lasa.,J'aime cette chanson.
An enmé chanté.,J’aime chanter.
An enmé dansé.,J'aime danser.
An enmé désiné.,J'aime dessiner.
An enmé dòmi.,J'aime dormir.
An enmé fomaj a kabwit.,J'aime le fromage de chèvre.
An enmé fè lékòl.,J'aime enseigner.
An enmé kalkilé.,J'aime calculer.
An enmé kouwi.,J'aime courir.
An enmé li.,J'aime lire.
An enmé maché.,J'aime marcher.
An enmé magazen-lasa.,J'aime ce magasin.
An enmé manjé.,J'aime manger.
An enmé najé.,J'aime nager.
An enmé navé.,J'aime les navets.
An enmé palé.,J'aime parler.
An enmé patat.,J'aime les patates douces.
An enmé péché.,J'aime pêcher.
An enmé ri.,J'aime rire.
An enmé révé.,J'aime rêver.
An enmé siléma-lasa.,J'aime ce film.
An enmé travay.,J'aime travailler.
An enmé yo.,Je les aime.
An enmé zwazo.,J'aime les oiseaux.
An enmé zwézo.,J'aime les oiseaux.
An enmé'w !,Je t'aime !
An enmé'w manman.,Je t'aime maman.
An enmé'w onlo !,Je t'aime beaucoup !
"An enmé'w onlo, Tòm !","Je t’aime beaucoup, Tom !"
An enmé'w onlo.,Je t'aime beaucoup.
An enmé'w osi.,Je t'aime aussi.
An enmé'w papa.,Je t'aime papa.
An enmé'w toubòlman !,Je t'aime beaucoup !
"An enmé'w toubòlman, Tòm !","Je t’aime beaucoup, Tom !"
An enmé'w toubòlman.,Je t'aime beaucoup.
"An enmé'w, Tòm.","Je t'aime, Tom."
"An enmé'w, doudou !","Je t'aime, chérie !"
An enmé'w.,Je t'aime.
An enmé'y.,Je l'aime.
An fen !,J'ai faim !
An gwan pasé zòt.,Je suis plus grand que vous.
An gwan pasé'w.,Je suis plus grand que toi.
An gwan pasé'y.,Je suis plus grand que lui.
An gwan.,Je suis grand.
An hayi tout moun.,Je déteste tout le monde.
An ja éséyé wòb-la.,J'ai déjà essayé la robe.
An jalou.,Je suis jaloux.
An k'ay bò d'lanmè.,Je vais à la plage.
An k'ay bòdlanmè.,Je vais à la plage.
An k'ay laga pwan twen-la.,Je vais à la gare pour prendre le train.
An k'ay lèstasyon pwan twen-la.,Je vais à la gare pour prendre le train.
An k'ay manjé on sitwon.,Je vais manger un citron.
An k'ay najé toulé jou.,Je vais nager chaque jour.
An ka bwè.,Je bois.
An ka chwazi lenj an mwen asi katalòg.,Je choisis mes vêtements sur catalogue.
An ka chèché on bijoutri.,Je cherche une bijouterie.
An ka chèché on bouchri.,Je cherche une boucherie.
An ka chèché on boulanjri.,Je cherche une boulangerie.
An ka chèché on boutik a joujou pou timoun.,Je cherche un magasin de jouets.
An ka chèché on boutik a lenj.,Je cherche un magasin de vêtements.
An ka chèché on boutik a soulyé.,Je cherche un magasin de chaussures.
An ka chèché on boutik.,Je cherche un magasin.
An ka chèché on chèl.,Je cherche une station-service.
An ka chèché on fanmasi.,Je cherche une pharmacie.
An ka chèché on lolo.,Je cherche une épicerie.
An ka chèché on machann pwason.,Je cherche un poissonnier.
An ka chèché on machann sòwbé.,Je cherche un glacier.
An ka chèché on parfumri.,Je cherche une parfumerie.
An ka chèché on sant komèwsyal.,Je cherche un centre commercial.
An ka chèché on sipèrmawché.,Je cherche un supermarché.
An ka chèché on timawché.,Je cherche un marchand de fruits et légumes.
An ka chèché sé nonm-la.,Je cherche les hommes.
An ka chèché travay.,Je cherche du travail.
An ka chèché zanmi.,Je cherche des amis.
An ka fè manjé èvè lywil zoliv.,Je cuisine à l'huile d'olive.
An ka hayi yo.,Je les déteste.
An ka jwé.,Je joue.
An ka kenbé.,Je tiens le coup.
An ka kouwi.,Je cours.
An ka kwè mwen agou a-y.,Tu me plais.
An ka lavé chimiz-la.,Je lave la chemise.
An ka lavé lenj an mwen chak jou.,Je lave mes habits chaque jour.
An ka lavé mwen.,Je me lave.
"An ka li, ou ka ékwi.",Je lis; tu écris.
An ka limé blan balenn la.,J'allume la bougie.
An ka makiyé mwen.,Je me maquille.
An ka makiyé.,Je me maquille.
An ka manjé on kiwi.,Je mange un kiwi.
An ka manjé on konkonm.,Je mange un concombre.
An ka manjé on ponm.,Je mange une pomme.
An ka manjé on sandouch.,Je suis en train de manger un sandwich.
An ka manjé on sitwon.,Je mange un citron.
An ka manjé on sòwbé vanni.,Je mange une glace à la vanille.
An ka manjé on sòwbé.,Je mange une glace.
An ka manjé on yarout.,Je mange un yaourt.
An ka manjé pen a lè a didiko-la.,Je mange du pain au petit-déjeuner.
An ka manjé pen.,Je mange du pain.
An ka manjé.,Je mange.
An ka palé ba'w.,Je te parle.
An ka pléwé toulé jou.,Je pleure chaque jour.
An ka pran on taksi pou rantré akaz.,Je prends un taxi pour rentrer.
